Faturamento
Cliente: 10000227 - Alan Castro Gabriel | Valor Pago: R$51,80
Cliente: 10000500 - Filipe Castro Ferreira | Valor Pago: R$10,00
Cliente: 10000626 - Joao Castro Velit | Valor Pago: R$56,00
Cliente: 10000914 - Bruno Castro Gabriel | Valor Pago: R$56,00
Cliente: 10001084 - Nicole Castro Lourdes | Valor Pago: R$3,70
Cliente: 10001275 - Bruno Castro Mattos | Valor Pago: R$5,00
Cliente: 10001352 - Alan Castro Batista | Valor Pago: R$22,20
Cliente: 10001474 - Leonardo Castro Castilho | Valor Pago: R$70,00
Cliente: 10001655 - ??talo Castro Nunes | Valor Pago: R$10,00
Cliente: 10001865 - Mariana Castro Borges | Valor Pago: R$10,00
Cliente: 10002036 - Alan Castro Santos | Valor Pago: R$35,00
Cliente: 10002186 - Felipe Castro Bicalho | Valor Pago: R$10,00
Cliente: 10002376 - Felipe Castro Benicio | Valor Pago: R$16,00
Cliente: 10002637 - Nicole Castro Bicalho | Valor Pago: R$37,00
Cliente: 10002670 - Alan Castro Konig | Valor Pago: R$63,00
Cliente: 10002763 - Davidson Castro Jardim | Valor Pago: R$5,00
Cliente: 10002890 - Ruver Castro de Paula | Valor Pago: R$0,00
Cliente: 10003089 - Guilherme Castro Camargos | Valor Pago: R$15,00
Cliente: 10003110 - Alan Castro Benicio | Valor Pago: R$24,00
Cliente: 10003235 - Lucas Castro Castilho | Valor Pago: R$72,00
Cliente: 10003419 - Eduardo Castro Camargos | Valor Pago: R$63,00
Cliente: 10003498 - Bruno Castro Costa | Valor Pago: R$3,70
Cliente: 10003629 - Alan Castro Castilho | Valor Pago: R$18,50
Cliente: 10003813 - Thales Castro Fernandes | Valor Pago: R$7,40
Cliente: 10004018 - Lu??s Castro Konig | Valor Pago: R$0,00
Cliente: 10004144 - Davidson Castro Souza | Valor Pago: R$40,70
Cliente: 10004239 - Nicky Castro Gon??alves | Valor Pago: R$72,00
Cliente: 10004421 - Alan Castro Massula | Valor Pago: R$11,10
Cliente: 10004602 - Davidson Castro Caldeira | Valor Pago: R$42,00
Cliente: 10004677 - Stephanie Castro Ferreira | Valor Pago: R$18,00
Cliente: 10004962 - Davidson Castro Duarte | Valor Pago: R$98,00
Cliente: 10005112 - Helo??sa Castro Freitas | Valor Pago: R$42,00
Cliente: 10005276 - Ruver Castro Magalh??es | Valor Pago: R$74,00
Cliente: 10005384 - Luiz Castro Rodrigues | Valor Pago: R$10,00
Cliente: 10005605 - Vitor Castro Lourdes | Valor Pago: R$0,00
Cliente: 10005869 - Luiz Castro de Paula | Valor Pago: R$10,00
Cliente: 10006139 - Alan Castro Abreu | Valor Pago: R$5,00
Cliente: 10006299 - Davidson Castro Abreu | Valor Pago: R$20,00
Cliente: 10006525 - Davidson Castro Nunes | Valor Pago: R$48,00
Cliente: 10006763 - Gabriel Castro Benicio | Valor Pago: R$56,00
Cliente: 10006814 - Vitor Castro Torres | Valor Pago: R$74,00
Cliente: 10006889 - Helo??sa Castro Duarte | Valor Pago: R$5,00
Cliente: 10007117 - Alan Castro Velit | Valor Pago: R$58,00
Cliente: 10007268 - Felipe Castro Konig | Valor Pago: R$74,00
Cliente: 10007339 - Matheus Castro Velit | Valor Pago: R$48,00
Cliente: 10007564 - Davi Castro Magalh??es | Valor Pago: R$49,00
Cliente: 10007667 - Nicole Castro Pacheco | Valor Pago: R$14,80
Cliente: 10007843 - Eduardo Castro Menezes | Valor Pago: R$16,00
Cliente: 10007955 - Charles Castro Rodrigues | Valor Pago: R$7,40
Cliente: 10008114 - Lucas Castro de Paula | Valor Pago: R$10,00
Cliente: 10008333 - Eduardo Castro Castro | Valor Pago: R$114,00
Cliente: 10008442 - Amanda Castro Berger | Valor Pago: R$56,00
Cliente: 10008651 - Gustavo Castro Carvalho | Valor Pago: R$10,00
Cliente: 10008810 - Charles Castro Berger | Valor Pago: R$14,80
Cliente: 10008922 - Cleber Castro Castro | Valor Pago: R$96,00
Cliente: 10009088 - Arthur Castro Rodrigues | Valor Pago: R$33,30
Cliente: 10009248 - Lucas Castro Torres | Valor Pago: R$40,00
Cliente: 10009480 - Gabriel Castro Lourdes | Valor Pago: R$10,00
Cliente: 10009580 - Gabriel Castro Araujo | Valor Pago: R$63,00
Cliente: 10009641 - Amanda Castro Magalh??es | Valor Pago: R$100,00
Cliente: 10009754 - Eduardo Castro Benicio | Valor Pago: R$7,40
Cliente: 10009939 - Bruna Castro Ferreira | Valor Pago: R$10,00
Cliente: 10010170 - Sinara Castro Torres | Valor Pago: R$40,00
Cliente: 10010293 - Igor Castro Fernandes | Valor Pago: R$33,30
Cliente: 10010507 - Leonardo Castro Camargos | Valor Pago: R$42,00
Cliente: 10010546 - Gustavo Castro Dias | Valor Pago: R$50,00
Cliente: 10010821 - Lu??s Castro Bertolini | Valor Pago: R$20,00
Cliente: 10010920 - Lu??s Castro Batista | Valor Pago: R$40,00
Cliente: 10010977 - Samuel Castro Bicalho | Valor Pago: R$0,00
Cliente: 10011036 - Thales Castro Rodrigues | Valor Pago: R$8,00
Cliente: 10011148 - Yuske Castro Sathler | Valor Pago: R$124,00
Cliente: 10011404 - Felipe Castro Dias | Valor Pago: R$15,00
Cliente: 10011667 - Matheus Castro Baeta | Valor Pago: R$29,60
Cliente: 10011740 - Cleber Castro Costa | Valor Pago: R$20,00
Cliente: 10011832 - Amanda Castro Ceolin | Valor Pago: R$5,00
Cliente: 10011959 - Mariana Castro Castilho | Valor Pago: R$28,00
Cliente: 10012099 - Gustavo Castro Benicio | Valor Pago: R$18,50
Cliente: 10012368 - Samuel Castro Batista | Valor Pago: R$56,00
Cliente: 10012499 - Lu??s Castro Velit | Valor Pago: R$0,00
Cliente: 10012769 - Stephanie Castro Velit | Valor Pago: R$10,00
Cliente: 10012810 - Davi Castro Leite | Valor Pago: R$48,00
Cliente: 10013019 - Bruno Castro Konig | Valor Pago: R$72,00
Cliente: 10013107 - Samuel Castro Massula | Valor Pago: R$14,80
Cliente: 10013146 - Renan Castro Camargos | Valor Pago: R$48,00
Cliente: 10013292 - Davi Castro Lourdes | Valor Pago: R$10,00
